,smbm1,smbm2,smbm3,bigbm1,bigbm2,bigbm3,Mkt-RF,SMB,HML,RF
19830128,1.27,0.42,0.69,1.49,-0.78,0.67,0.36,0.33,-0.7,0.171
19830204,2.15,1.87,2.2,1.17,1.6,1.91,1.43,0.52,0.4,0.154
19830211,2.32,2.13,2.32,1.1,1.45,0.32,1.09,1.3,-0.39,0.154
19830218,1.77,1.74,1.14,1.03,0.22,-0.08,0.51,1.16,-0.87,0.154
19830225,-0.14,1.09,1.11,1.91,0.71,1.97,1.11,-0.84,0.66,0.154
19830304,0.85,2.85,3.46,2.33,3.06,2.57,2.32,-0.26,1.42,0.158
19830311,0.03,0.74,0.72,-1.96,-1.18,-1.05,-1.32,1.89,0.8,0.158
19830318,-1.59,0.05,0.18,-0.83,-1.16,-0.53,-1.02,0.39,1.04,0.158
19830325,2.02,2.4,2.25,2.27,1.92,1.18,1.8,0.43,-0.43,0.158
19830331,0.25,0.01,-0.18,-0.16,0.81,-0.51,-0.05,-0.03,-0.39,0.158
19830408,-1.5,-0.3,0.51,-0.78,0.3,0.22,-0.43,-0.34,1.51,0.178
19830415,5.2,3.95,3.74,4,3.99,3.26,3.81,0.55,-1.1,0.178
19830422,2.12,2.17,2.08,1.03,0.95,1.21,1.07,1.06,0.07,0.178
19830429,2.05,1.94,1.28,1.44,3.54,2.33,2.07,-0.68,0.06,0.178
19830506,3.66,2.57,2.69,1.44,0.7,1.8,1.55,1.66,-0.3,0.172
19830513,1.71,1.51,1.74,-0.66,-0.06,-0.64,-0.28,2.1,0.03,0.172
19830520,-0.12,-0.6,-0.83,-1.2,-1.27,-1.77,-1.33,0.9,-0.64,0.172
19830527,3.74,2.61,2.04,1.55,1.86,1.79,1.81,1.07,-0.73,0.172
19830603,0.8,0.54,0.26,0.62,-0.1,-0.79,-0.06,0.62,-0.97,0.166
19830610,1.06,0.67,0.26,-0.23,-1.25,-0.86,-0.6,1.45,-0.71,0.166
19830617,3.79,3.87,2.52,3.64,4.65,2.43,3.5,-0.18,-1.24,0.166
19830624,1.72,0.39,0.57,1.39,0.85,-0.24,0.73,0.22,-1.39,0.166
19830701,-1.95,-1.02,-0.51,-1.09,-0.83,-0.76,-1.24,-0.27,0.88,0.185
19830708,-0.85,0.01,0.46,-1.47,-0.68,-0.78,-1.11,0.85,1,0.185
19830715,-2.51,-1.02,-0.47,-2.39,-1.95,-0.56,-1.95,0.3,1.93,0.185
19830722,2.23,2.27,1.52,3.05,3.2,1.74,2.41,-0.65,-1.01,0.185
19830729,-5.32,-2.14,-1.09,-5,-3.61,-1.95,-3.97,0.67,3.64,0.185
19830805,-2.34,-2.08,-1.72,-1.22,-0.74,0.91,-1.03,-1.7,1.38,0.19
19830812,-0.62,-0.52,0.07,0.05,0.53,1.24,0.16,-0.96,0.94,0.19
19830819,0.24,0.84,1.22,0.03,1.1,2.25,0.7,-0.36,1.6,0.19
19830826,-2.7,-1.58,-0.35,-2.18,-0.99,-0.15,-1.57,-0.44,2.19,0.19
19830902,2.11,1.1,1.23,2.87,1.67,1.07,1.73,-0.39,-1.34,0.19
19830909,2.28,1.64,1.89,0.91,1.3,2.36,1.32,0.41,0.53,0.19
19830916,-1.83,-0.36,0.36,-0.22,-0.62,-0.92,-0.81,-0.02,0.75,0.19
19830923,1.22,1.52,1.75,2.77,2.24,1.52,1.89,-0.68,-0.36,0.19
19830930,-2.77,-0.98,-0.77,-1.72,-1.97,-2.18,-2.1,0.45,0.77,0.19
19831007,0.27,0.36,0.74,4.17,2.05,1.56,2.2,-2.14,-1.08,0.19
19831014,-2.07,-0.59,-0.49,-2.07,-0.23,0.64,-1.12,-0.5,2.14,0.19
