,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,xrm
20110207,0.85,1.2,1.11,0.98,0.81,0.63,0.9,0.79,0.58,0.5,0.7
20110208,0.43,0.54,0.84,0.67,0.67,0.46,0.4,0.38,0.46,0.46,0.48
20110209,-0.13,-0.46,-0.54,-0.5,-0.57,-0.27,-0.34,-0.34,-0.3,-0.26,-0.31
20110210,0.05,-0.02,0.32,0.4,0.56,0.67,0.31,0.56,0.33,0.13,0.12
20110211,0.59,1.11,0.89,1.18,1.11,1.12,0.78,0.65,0.72,0.59,0.67
20110214,0.2,0.43,0.38,0.54,0.53,0.43,0.42,0.42,0.21,0.11,0.3
20110215,-0.34,-0.66,-0.67,-0.52,-0.56,-0.48,-0.37,-0.39,-0.37,-0.25,-0.38
20110216,0.4,0.98,0.82,1.05,1.21,1.11,0.73,0.89,0.68,0.69,0.68
20110217,0.73,0.81,0.84,0.63,0.65,0.66,0.5,0.44,0.45,0.38,0.37
20110218,0.1,0.2,0.11,0.24,-0.03,0.07,0.08,0.06,0.18,0.24,0.12
20110222,-1.94,-2.84,-2.39,-2.61,-2.86,-2.49,-2.47,-2.63,-2.26,-2.03,-2.19
20110223,-0.78,-1.77,-1.8,-1.88,-1.71,-1.46,-1.35,-1.06,-0.82,-0.65,-0.78
20110224,0.32,1,0.86,0.55,0.21,0.06,0.09,0.22,0.15,-0.02,0.04
20110225,1.54,2.14,2.37,1.85,2.13,1.95,1.88,1.75,1.38,1.04,1.22
20110228,0.1,-0.04,0.09,-0.08,0.31,0.03,0.18,0.26,0.26,0.59,0.42
20110301,-0.95,-1.88,-1.91,-1.93,-1.94,-1.61,-1.47,-1.76,-1.64,-1.52,-1.58
20110302,0.32,0.51,0.5,0.4,0.43,0.63,0.56,0.55,0.35,0.18,0.28
20110303,1.17,2.07,2.21,2.18,2.19,2.08,1.75,1.88,1.77,1.75,1.76
20110304,-0.22,-0.44,-0.43,-0.66,-0.67,-0.4,-0.66,-0.64,-0.55,-0.69,-0.67
20110307,-0.86,-1.78,-1.7,-1.55,-1.34,-1.39,-1.03,-1.07,-0.92,-0.84,-0.96
20110308,0.96,2.02,1.63,1.43,1.56,1.02,1.16,1.01,0.96,0.95,0.97
20110309,-0.46,-0.15,-0.14,-0.59,-0.02,-0.17,-0.21,-0.28,-0.1,-0.09,-0.17
20110310,-2.11,-3.12,-2.83,-2.36,-2.32,-1.85,-1.74,-1.88,-1.85,-1.75,-1.93
20110311,-0.1,0.1,0.25,0.44,0.6,0.66,0.66,1.07,0.81,0.69,0.69
20110314,-0.91,-0.98,-0.38,-0.53,-0.55,-0.59,-0.64,-0.49,-0.6,-0.73,-0.59
20110315,-1.37,-0.97,-0.93,-0.79,-0.5,-0.79,-0.75,-0.99,-0.92,-1.11,-1.05
20110316,-0.76,-1.13,-1.12,-1.11,-1.21,-1.04,-1.12,-1.3,-1.5,-1.86,-1.77
20110317,0.57,0.67,0.39,0.07,0.49,0.42,0.44,1.06,1.09,1.19,1.12
20110318,0.94,1.53,1.12,1.09,0.92,0.66,0.57,0.51,0.53,0.36,0.49
20110321,1.46,2.17,2.33,2.25,2.23,2.02,1.74,1.71,1.4,1.45,1.58
20110322,0.14,-0.25,-0.43,-0.54,-0.61,-0.62,-0.51,-0.48,-0.5,-0.22,-0.34
20110323,0.31,0.47,0.41,0.31,0.17,0.12,0.19,0.22,0.29,0.36,0.31
20110324,0.4,0.92,0.68,0.81,0.85,1.01,0.87,1.13,1.07,1.05,0.96
20110325,0.41,0.61,0.84,0.75,0.79,0.75,0.53,0.53,0.49,0.14,0.41
20110328,0,-0.28,-0.29,-0.32,-0.35,-0.02,-0.44,-0.5,-0.5,-0.28,-0.35
20110329,0.51,0.9,0.89,0.94,0.9,0.97,0.77,0.87,0.85,0.68,0.74
20110330,0.53,1.22,1.31,1.26,1.1,1.12,1.06,1.06,0.93,0.58,0.79
20110331,0.41,0.31,0.54,0.07,0.32,0.45,0.26,0.01,-0.19,-0.09,-0.11
20110401,-0.12,0.54,0.39,0.39,0.62,0.5,0.78,0.71,0.73,0.54,0.52
20110404,-0.07,0.18,0.17,0.21,0.22,0.14,0.04,0.08,-0.09,0.12,0.09
20110405,0.12,0.34,0.42,0.41,0.69,0.55,0.82,0.22,-0.08,0,0.08
20110406,0.35,0.54,0.31,0.42,0.01,-0.02,0.14,0.06,0.27,0.3,0.21
20110407,-0.28,-0.53,-0.45,-0.51,-0.21,-0.55,-0.33,-0.38,-0.1,-0.25,-0.2
20110408,-0.61,-1.2,-1.04,-0.96,-0.81,-0.72,-0.72,-0.57,-0.55,-0.42,-0.47
20110411,-0.75,-0.95,-0.84,-0.97,-0.74,-0.52,-0.78,-0.55,-0.18,-0.23,-0.39
20110412,-1.16,-1.61,-1.56,-1.33,-1.12,-1.06,-0.8,-0.92,-0.71,-0.6,-0.84
20110413,0.06,-0.18,0.15,-0.05,0.22,0.54,0.11,0.45,0.33,-0.05,0.11
20110414,0.31,0.65,0.49,0.16,0.1,0.18,-0.27,0,0.1,-0.03,0
20110415,0.33,0.97,0.91,0.77,1.07,0.79,0.72,0.72,0.64,0.4,0.44
20110418,-1.2,-1.35,-1.67,-1.53,-1.48,-1.44,-1.36,-1.34,-1.12,-1.09,-1.15
20110419,0.32,-0.14,-0.1,0.02,0.3,0.47,0.53,0.41,0.49,0.51,0.5
20110420,0.95,1.59,1.92,2.04,1.73,1.65,1.59,1.62,1.79,1.29,1.45
20110421,0.33,0.73,0.66,0.77,0.77,0.72,0.77,0.67,0.4,0.56,0.56
20110425,0.02,-0.11,-0.34,-0.15,-0.1,-0.09,0.08,-0.11,-0.3,-0.24,-0.16
20110426,0.31,0.97,1.1,1.26,0.86,0.93,0.72,0.79,0.89,0.97,0.89
20110427,0.64,0.35,0.53,0.89,0.63,0.82,0.67,0.56,0.56,0.59,0.66
20110428,-0.03,0.71,0.43,0.28,0.04,0.13,0.14,0.05,0.37,0.56,0.32
20110429,0.31,0.28,0.47,0.62,0.47,0.44,0.29,0.36,0.01,0.3,0.29
20110502,-0.75,-1.63,-1.2,-0.94,-0.85,-0.59,-0.23,-0.17,-0.19,-0.06,-0.28
20110503,-0.9,-1.28,-1.1,-0.85,-1.32,-1.08,-0.85,-0.76,-0.78,-0.3,-0.5
20110504,-0.98,-1.46,-1.27,-0.9,-1.29,-0.95,-0.72,-0.83,-0.73,-0.66,-0.74
20110505,-0.45,-0.54,-0.71,-0.09,-0.34,-0.15,-0.28,-0.52,-0.48,-0.82,-0.82
20110506,0.43,0.32,0.33,0.39,0.65,0.28,0.34,0.62,0.58,0.51,0.46
20110509,0.64,0.96,1.11,0.96,0.93,1.03,0.71,0.64,0.53,0.58,0.55
20110510,1.05,1.92,1.51,1.63,1.23,1.14,1.03,1.15,0.96,0.72,0.86
20110511,-1.09,-1.89,-2,-1.43,-1.4,-1.07,-1.08,-0.95,-1.02,-1.02,-1.09
20110512,0.58,1,0.92,0.76,0.65,0.61,0.49,0.58,0.75,0.49,0.52
20110513,-0.87,-1.74,-1.57,-1.36,-1.09,-1.1,-0.89,-0.84,-0.82,-0.74,-0.88
20110516,-1.4,-1.81,-1.67,-1.52,-1.25,-0.9,-0.74,-0.8,-0.56,-0.55,-0.76
20110517,-0.68,-0.19,-0.44,-0.33,-0.44,-0.66,-0.56,-0.35,-0.23,-0.01,-0.11
20110518,0.96,1.48,1.51,1.4,1.66,1.66,1.56,1.39,1.12,0.87,1.02
20110519,-0.11,-0.15,0.16,0.11,0.39,0.25,0.08,0.22,0.31,0.19,0.22
20110520,-0.24,-0.68,-0.72,-0.75,-0.81,-0.54,-0.83,-0.65,-0.65,-0.73,-0.73
20110523,-1.15,-1.53,-2.01,-1.92,-1.69,-1.78,-1.57,-1.39,-1.42,-1.18,-1.29
20110524,-0.18,-0.63,-0.5,-0.5,-0.28,-0.26,-0.33,-0.18,-0.17,-0.11,-0.14
20110525,0.65,1.37,1.25,1.18,1.15,0.71,0.66,0.52,0.38,0.32,0.45
20110526,0.92,1.42,1.17,1.02,1,0.91,0.8,0.66,0.54,0.38,0.52
20110527,0.55,0.71,0.58,0.77,0.64,0.59,0.7,0.61,0.48,0.39,0.49
20110531,0.64,1.94,1.59,1.38,1.03,0.94,0.8,0.88,0.88,0.95,1.04
20110601,-1.81,-3.36,-3.12,-3.12,-3.09,-2.62,-2.15,-2.31,-2.48,-2.28,-2.33
20110602,0.05,-0.1,-0.02,0.1,-0.18,-0.04,-0.01,0.14,-0.07,-0.01,-0.1
20110603,-0.81,-1.83,-1.74,-1.47,-1.58,-1.48,-1.35,-1.4,-1.18,-1.03,-1.1
20110606,-1.44,-1.81,-1.45,-1.35,-1.55,-1.64,-1.57,-1.36,-1.3,-1.01,-1.18
20110607,0.01,0.2,0.03,-0.07,0.2,0.36,0.14,0.19,0.18,-0.03,-0.04
20110608,-1.24,-1.22,-1.23,-1.2,-1.23,-1,-0.91,-0.78,-0.82,-0.48,-0.54
20110609,0.74,0.36,0.74,0.83,0.79,0.66,0.89,0.61,0.87,0.82,0.75
20110610,-0.75,-1.64,-1.54,-1.5,-1.44,-1.43,-1.47,-1.44,-1.4,-1.42,-1.37
20110613,-1.33,-0.23,-0.17,-0.2,-0.2,-0.42,-0.22,-0.36,-0.06,0.08,0.01
20110614,1.02,2.29,2.2,2.33,2.16,1.93,1.57,1.6,1.71,1.21,1.36
20110615,-1.1,-1.91,-1.69,-1.59,-1.8,-1.36,-1.61,-1.77,-1.78,-1.73,-1.72
20110616,0.23,0.64,0.23,0.02,0.16,-0.25,-0.05,-0.26,0.16,0.15,0.12
20110617,0.44,-0.29,-0.06,-0.02,0.09,0.19,0.15,0.25,0.39,0.32,0.25
20110620,-0.24,0.58,0.98,1.17,0.99,0.66,0.54,0.56,0.76,0.58,0.58
20110621,1.4,2.6,2.37,2.1,2.26,2.07,1.89,1.95,1.58,1.32,1.52
20110622,-0.3,-1.24,-0.86,-0.55,-0.57,-0.5,-0.38,-0.48,-0.7,-0.61,-0.62
20110623,-0.01,0.72,0.41,0.37,-0.01,0.42,-0.09,0.01,-0.02,-0.34,-0.14
20110624,0.72,-0.58,-0.63,-0.74,-0.85,-1.11,-0.86,-0.97,-1.23,-1.1,-1.1
20110627,0.49,0.97,1.11,0.98,0.67,0.66,0.38,0.63,0.77,0.87,0.89
20110628,0.78,1.39,1.62,1.72,1.63,1.74,1.31,1.51,1.44,1.29,1.36
20110629,0.2,-0.17,0.18,0.31,0.66,0.76,0.83,0.78,0.69,1.06,0.77
20110630,0.82,1.09,0.9,1.03,0.98,0.94,0.8,0.78,1.05,0.96,0.99
20110701,0.71,1.25,1.37,1.61,1.62,1.77,1.65,1.63,1.43,1.46,1.45
20110705,0.06,0.18,0.03,0.14,-0.18,0.09,-0.04,-0.2,-0.13,-0.14,-0.08
20110706,0.73,0.45,0.38,0.48,0.25,0.44,0.52,0.12,0.03,0.07,0.18
20110707,1.37,1.94,1.48,1.45,1.43,1.01,1.02,1.17,1.09,1.03,1.1
20110708,-0.2,-0.68,-0.67,-0.84,-0.78,-0.44,-0.94,-0.86,-0.85,-0.69,-0.67
20110711,-1.12,-2.03,-2.2,-2.15,-2.36,-2.45,-2.4,-2.38,-2,-1.94,-1.91
20110712,-0.07,-0.36,-0.3,-0.53,-0.55,-0.49,-0.52,-0.52,-0.44,-0.47,-0.45
20110713,0.9,1.17,1.2,0.79,0.81,0.67,0.51,0.54,0.25,0.34,0.45
20110714,-0.86,-1.57,-1.8,-1.48,-1.48,-1.28,-1.33,-1.08,-1.06,-0.69,-0.82
20110715,0.33,0.68,0.63,0.44,0.44,0.63,0.51,1.19,0.63,0.49,0.58
20110718,-1.02,-1.68,-1.75,-1.56,-1.55,-1.47,-1.48,-1.21,-1.16,-0.96,-0.94
20110719,1.16,2.32,2.18,2.17,2.26,1.89,1.86,2.03,1.78,1.52,1.72
20110720,0.18,-0.39,-0.29,-0.41,-0.01,-0.24,0.05,-0.22,-0.23,-0.11,-0.1
20110721,0.67,1.47,1.35,0.81,1.16,1.04,0.97,1.02,1.19,1.49,1.29
20110722,0.08,-0.25,-0.22,0.04,0.28,0.42,0.5,0.37,0.08,-0.09,0.1
20110725,-0.7,-1.32,-1.25,-1.22,-1.17,-0.8,-0.67,-0.74,-0.74,-0.61,-0.68
20110726,-0.49,-0.93,-0.66,-0.82,-0.7,-0.88,-0.46,-0.58,-0.52,-0.41,-0.47
20110727,-1.93,-2.83,-2.8,-2.75,-3.19,-2.62,-2.78,-2.46,-2.52,-2.08,-2.16
20110728,0.14,0.31,-0.02,-0.42,-0.57,-0.79,-0.59,-0.79,-0.27,-0.16,-0.31
20110729,-0.2,-0.32,-0.66,0.01,-0.46,-0.08,-0.28,-0.46,-0.38,-0.56,-0.56
20110801,0.24,-0.05,-0.72,-0.75,-0.81,-0.78,-0.76,-0.57,-0.86,-0.42,-0.4
20110802,-1.78,-3.4,-3.21,-3.42,-3.18,-3.18,-2.91,-3.47,-2.93,-2.61,-2.68
20110803,0.09,1.03,0.68,0.52,0.87,0.59,0.4,0.68,0.7,0.57,0.58
20110804,-4.29,-5.86,-6.13,-6.06,-5.97,-6.06,-6.04,-6.27,-5.45,-4.89,-5.04
20110805,-1.57,-1.45,-1.71,-1.35,-1.73,-1.63,-1.43,-1.02,-0.53,-0.01,-0.36
20110808,-7.09,-9.08,-9.05,-9.4,-8.35,-8.7,-8.43,-8.18,-7.44,-6.82,-6.97
20110809,4,6.64,6.01,6.53,6.2,5.98,6.08,5.9,5.22,4.9,4.97
20110810,-3.01,-6.93,-5.36,-5.05,-4.26,-3.91,-3.61,-3.35,-3.95,-4.46,-4.3
20110811,2.85,5.08,5.76,5.47,5.69,5.4,5.39,5.28,4.84,4.9,4.72
20110812,0.32,-0.36,0.38,0.65,0.2,0.84,0.8,0.86,0.78,0.56,0.54
20110815,2.03,3.28,3.13,3.08,2.87,2.8,2.54,2.99,2.13,2.07,2.25
20110816,-1.43,-2.17,-1.93,-1.83,-1.82,-1.68,-1.46,-1.7,-1.15,-0.93,-1.07
20110817,0.04,0.27,0.14,-0.52,-0.59,-0.59,-0.6,-0.47,-0.14,0.01,-0.01
20110818,-3.51,-5.88,-6.02,-6.22,-5.81,-6.03,-5.78,-5.62,-5.13,-4.72,-4.65
20110819,-0.89,-1.44,-1.57,-1.73,-1.58,-1.95,-1.88,-1.9,-1.53,-1.48,-1.55
20110822,-0.68,-0.42,-0.26,-0.16,0.08,-0.11,-0.1,-0.14,0.12,-0.05,-0.03
20110823,2.23,5.4,4.88,4.8,4.69,4.34,4.27,4.03,4.01,3.34,3.6
20110824,0.82,1.38,1.32,1.71,1.44,1.4,1.61,1.43,1.49,1.44,1.35
20110825,-1.34,-2.94,-2.62,-2.39,-2.26,-2.23,-2.14,-2.2,-1.9,-1.56,-1.67
20110826,1.21,2.49,2.59,2.61,2.64,2.96,2.62,2.42,2.23,1.53,1.74
20110829,2.86,5.28,5.41,4.97,4.6,4.34,4.22,3.91,3.43,2.92,3.11
20110830,0.43,0.31,0.54,0.6,0.76,0.6,0.42,0.45,0.63,0.24,0.32
20110831,0,-0.29,-0.39,0.02,-0.13,0.42,0.42,0.44,0.67,0.62,0.42
20110901,-1.53,-2.87,-2.62,-2.54,-2.21,-1.96,-1.75,-1.56,-1.35,-1.18,-1.33
20110902,-1.77,-4.01,-3.85,-3.77,-3.49,-3.35,-3.14,-2.89,-2.82,-2.69,-2.64
20110906,-0.9,-0.27,-0.37,-0.68,-0.58,-0.76,-0.92,-0.95,-0.69,-0.8,-0.71
20110907,2.22,4.45,4.69,4.24,4.28,4.08,3.88,3.96,3.4,3.09,3.06
20110908,-1.2,-2.53,-2.36,-1.95,-2,-1.98,-1.5,-1.49,-1.26,-1.1,-1.18
20110909,-1.47,-2.85,-3.2,-3.01,-2.89,-2.91,-2.81,-2.81,-2.72,-2.69,-2.65
20110912,-0.23,1.16,0.76,0.73,0.57,0.61,0.35,0.4,0.78,0.65,0.68
20110913,1.08,2.14,1.91,2.03,1.84,1.76,1.66,1.69,1.4,1.07,1.12
20110914,1.2,1.91,1.99,1.81,1.83,1.86,1.91,1.94,1.65,1.33,1.45
20110915,0.43,1.13,1.4,1.46,1.48,1.49,1.49,1.45,1.43,1.9,1.64
20110916,0.35,0.04,0.01,0.12,-0.03,-0.22,-0.04,0.04,0.34,0.57,0.47
20110919,-1.74,-2.29,-1.98,-1.73,-1.54,-1.34,-1.24,-1.14,-1.09,-1.09,-0.99
20110920,-1.06,-2.29,-1.75,-1.98,-1.62,-1.73,-1.17,-1.12,-0.69,-0.18,-0.45
20110921,-1.86,-3.51,-3.95,-3.65,-3.81,-3.93,-3.26,-3.38,-3.19,-3.17,-2.92
20110922,-3.02,-3.23,-3,-3.56,-3.53,-4.15,-4.11,-4.11,-3.32,-3.46,-3.29
20110923,0.76,1.86,1.65,1.46,1.51,1.3,1.22,0.86,0.89,0.59,0.74
20110926,-0.11,1.97,2.01,2.44,2.14,2.16,2.32,2.49,2.42,2.32,2.28
20110927,1.07,2.34,2.35,2.43,2.26,2.05,1.74,1.65,1.15,1.26,1.22
20110928,-2.17,-4.65,-4.2,-4.03,-4.03,-3.72,-3.4,-3.17,-2.66,-2.32,-2.29
20110929,0.26,2.13,2.01,1.75,1.19,1.22,0.78,0.49,0.32,0.67,0.77
20110930,-0.98,-2.6,-3.15,-3.07,-3.2,-2.68,-3.01,-2.97,-2.78,-2.7,-2.5
20111003,-4.85,-5.91,-5.55,-5.67,-5.13,-4.72,-4.68,-4.47,-3.5,-2.9,-3.18
20111004,2.73,8.35,6.45,6.42,5.82,4.1,3.77,3.46,2.92,2.55,2.68
20111005,1.41,1.02,1.91,2.36,2.49,2.76,2.96,2.66,2.01,2.22,1.92
20111006,1.64,2.06,2.6,2.69,2.68,2.99,2.6,2.73,2.35,2.12,1.94
20111007,-1.1,-3.11,-2.76,-2.51,-2.11,-1.58,-1.4,-1.36,-1.43,-0.87,-0.98
20111010,2.27,4.65,4.65,4.28,3.94,3.94,3.59,3.85,3.24,3.55,3.44
20111011,0.73,1.23,0.98,0.76,0.51,0.61,0.05,0.41,0.13,0.05,0.15
20111012,1.45,2.2,2.2,1.6,1.56,1.49,1.55,1.29,1.04,0.98,1.07
20111013,0.22,-0.3,-0.05,-0.53,-0.05,-0.12,-0.02,0.21,0,-0.45,-0.21
20111014,1.24,2.13,2.01,2.1,1.72,1.94,1.8,1.91,1.64,1.69,1.72
20111017,-1.63,-4.05,-3.48,-3.46,-3.44,-2.73,-2.8,-2.34,-2.02,-2.04,-2.06
20111018,1.42,3.61,3.22,3.29,2.98,2.26,2.81,2.5,2.15,2.29,2.11
20111019,-0.79,-2.62,-2.35,-2.09,-2.07,-1.74,-1.72,-1.69,-1.35,-1.21,-1.38
20111020,-0.26,-0.1,0.04,0.38,0.76,0.35,0.6,0.42,0.47,0.44,0.43
20111021,1.27,2.21,2.41,2.15,2.11,2.56,2.35,2.1,2.36,2.16,1.92
20111024,1.69,3.47,3.65,3.44,3.53,3.42,2.87,2.63,1.93,1.4,1.59
20111025,-1.43,-3.43,-3.2,-3.23,-2.85,-2.23,-2.6,-2.65,-2.28,-2.17,-2.13
20111026,1.22,2.83,2.52,1.7,1.81,1.49,1.32,1.43,0.88,1.16,1.12
20111027,2.93,6.33,5.66,5.41,4.89,4.56,4.55,4.21,3.6,3.84,3.54
20111028,0.2,-0.87,-0.57,-0.76,-0.06,-0.11,0.27,0.16,0,0.14,-0.01
20111031,-1.22,-2.93,-3.28,-2.49,-2.81,-2.87,-2.55,-2.82,-2.55,-2.62,-2.5
20111101,-2.04,-3.88,-3.78,-3.87,-3.48,-3.2,-3.28,-3.09,-2.68,-3.05,-2.86
20111102,1.88,3.28,2.57,2.55,2.2,2.4,2.29,1.98,1.8,1.72,1.72
20111103,1.34,2.49,2.86,2.46,2.47,2.86,2.53,1.82,2.2,1.74,1.97
20111104,-0.67,-1.03,-0.39,-0.51,-0.26,-0.04,-0.02,0.27,-0.27,-0.59,-0.53
20111107,-0.31,-0.38,0.02,-0.14,-0.31,-0.05,-0.01,0.12,0.21,0.82,0.48
20111108,1.3,1.58,1.02,1.68,1.01,1.36,0.92,0.94,1.03,1.37,1.21
20111109,-2.71,-5.31,-5.17,-4.89,-4.37,-4.15,-4.14,-4.51,-3.85,-3.85,-3.78
20111110,0.24,1.01,0.95,1.08,0.82,0.84,0.75,0.85,0.69,0.99,0.83
20111111,1.09,2.75,2.55,2.82,2.48,2.22,2.06,2.25,2.21,2.05,1.98
20111114,-1.25,-2.18,-1.71,-1.47,-1.24,-0.97,-0.93,-1.03,-1.02,-0.79,-0.92
20111115,0.29,1.58,1.54,1.29,0.92,0.89,0.61,0.7,0.57,0.34,0.56
20111116,-0.67,-1.74,-1.53,-1.82,-2.08,-1.33,-1.41,-1.44,-1.78,-1.67,-1.64
20111117,-0.8,-1.38,-1.59,-1.45,-1.89,-2.06,-2.08,-2.11,-2.1,-1.84,-1.65
20111118,0.34,0.25,-0.1,0.06,-0.12,-0.26,-0.43,-0.1,-0.1,-0.13,-0.07
20111121,-1.89,-2.52,-2.58,-2.61,-2.42,-2.29,-1.42,-1.75,-1.57,-1.95,-1.87
20111122,-0.59,-1.18,-0.95,-0.75,-0.73,-0.91,-0.59,-0.54,-0.65,-0.38,-0.44
20111123,-2.01,-3.6,-3.2,-3.02,-3,-2.83,-2.72,-2.75,-2.33,-2.2,-2.29
20111125,-0.34,-1.85,-1.48,-1.18,-0.93,-0.55,-0.24,-0.17,-0.31,-0.18,-0.34
20111128,2.1,5.45,5.1,4.87,4.57,3.75,3.41,3.64,3.17,3.06,3.1
20111129,-0.72,-0.5,-0.34,-0.32,-0.58,0.24,0.07,0.29,-0.01,0.11,0.18
20111130,2.99,6.73,6.34,5.84,5.55,5.45,4.85,4.86,4.39,4.55,4.44
20111201,-0.47,-0.95,-0.92,-0.66,-0.46,-0.42,-0.17,-0.19,-0.11,-0.17,-0.22
20111202,1.07,1.08,0.82,0.56,0.37,0.13,0.33,0.09,-0.26,-0.09,0.05
20111205,0.92,1.48,1.58,1.8,1.33,1.81,1.48,1.24,1.35,1.07,1.09
20111206,0.09,-0.06,-0.12,-0.1,0.2,-0.36,-0.56,-0.34,-0.28,0.15,0.04
20111207,0.1,0.04,-0.05,-0.07,0.27,-0.37,-0.33,-0.32,-0.17,0.29,0.16
20111208,-2.25,-3.62,-3.4,-3.45,-3.09,-2.71,-2.74,-2.64,-2.54,-2.37,-2.23
20111209,1.99,3.69,3.4,3.12,2.94,2.41,2.46,1.98,1.61,1.73,1.83
20111212,-0.86,-1.61,-1.7,-1.63,-1.83,-1.86,-1.71,-1.66,-1.6,-1.64,-1.48
20111213,-1.06,-2.44,-2.24,-2.06,-2.07,-1.87,-1.86,-1.68,-1.47,-1.04,-1.05
20111214,0.1,-0.55,-2.08,-2.04,-1.79,-1.86,-1.78,-1.67,-1.3,-1.26,-1.21
20111215,-0.35,0.91,1.42,1.33,0.69,0.73,0.48,0.73,0.16,0.29,0.4
20111216,-0.21,0.55,0.75,0.96,0.83,1.02,0.92,0.81,0.45,0.35,0.45
20111219,-1.56,-2.14,-2.17,-1.79,-2,-2.02,-1.89,-1.87,-1.48,-1.4,-1.31
20111220,2.08,4.64,4.11,4.22,3.92,3.93,3.61,3.77,3.41,3.12,3.1
20111221,0.08,0.37,0.34,0.27,0.26,0.53,0.14,0.2,0.15,0.29,0.2
20111222,0.63,0.9,0.99,0.96,1.28,0.94,1.33,1.29,1.03,0.86,0.83
20111223,0.37,0.04,0.17,0.3,0.61,0.62,0.68,0.83,0.72,0.86,0.84
20111227,-0.52,0.21,0.39,0.52,0.31,0.3,0.11,-0.24,0.21,-0.11,0.04
20111228,-1,-2.34,-2.25,-2.34,-1.98,-1.9,-1.78,-1.76,-1.44,-1.37,-1.34
20111229,0.75,1.39,1.56,1.51,1.27,1.28,1.53,1.15,1.01,1.14,1.1
20111230,0.92,-0.33,-0.31,-0.57,-0.59,-0.18,-0.3,-0.3,-0.38,-0.36,-0.4
20120103,1.8,2.12,1.93,1.7,1.38,1.32,1.23,1.48,1.33,1.88,1.5
20120104,0.02,-0.73,-0.84,-0.5,-0.71,-0.38,-0.04,-0.12,-0.03,0.06,0
20120105,0.64,0.48,0.66,0.73,0.7,0.52,0.9,0.79,0.46,0.33,0.39
20120106,0.32,-0.48,-0.2,-0.19,-0.23,-0.03,0.1,-0.03,-0.15,-0.14,-0.19
20120109,0.54,0.74,0.28,0.44,0.62,0.59,0.52,0.22,0.61,0.26,0.28
20120110,0.99,1.53,1.61,1.45,1.57,1.29,1.39,1.43,1.26,1.21,0.97
20120111,0.54,0.78,0.9,0.63,0.44,0.48,0.33,0.25,0.18,0.12,0.13
20120112,0.72,0.63,0.8,0.61,0.5,0.15,0.35,0.64,0.58,0.33,0.31
20120113,-0.2,-0.96,-0.98,-0.75,-1.1,-0.93,-0.72,-0.75,-0.52,-0.64,-0.52
20120117,0.32,-0.01,0.05,0.13,0.18,0.23,0.19,0.18,0.51,0.45,0.36
20120118,1.28,2.11,2.06,1.87,1.92,1.62,1.69,1.67,1.57,1.15,1.22
20120119,0.57,0.48,0.38,0.55,0.76,0.71,0.99,0.69,0.78,0.63,0.51
20120120,0.77,0.9,0.46,0.22,0.17,-0.18,-0.19,-0.25,-0.36,-0.03,0.03
20120123,0.16,-0.37,-0.3,-0.15,-0.05,0.13,0,0.3,0.05,0.04,0.02
20120124,0.7,0.94,0.75,0.61,0.59,0.51,0.43,0.28,0.33,-0.13,0
20120125,0.92,0.86,0.84,1.02,1.08,1.18,1.18,1.32,1.33,0.72,0.91
20120126,-0.05,-0.01,-0.37,-0.61,-0.52,-0.68,-1.01,-0.81,-0.63,-0.62,-0.59
20120127,0.88,0.96,0.86,0.56,1.07,1.09,0.32,0.29,0.05,-0.05,0.01
20120130,-0.32,-0.61,-0.99,-0.93,-0.94,-0.56,-0.75,-0.42,-0.54,-0.32,-0.31
20120131,0.47,0.05,0.02,-0.33,-0.34,-0.36,-0.28,-0.01,-0.04,0.1,-0.05
20120201,1.37,2.34,2.42,2.15,2.18,1.9,1.86,1.5,1.09,1.05,1.1
20120202,0.6,0.76,0.61,0.59,0.5,0.2,0.04,0.06,0.48,0.28,0.17
20120203,1.66,2.63,2.51,2.5,2.12,1.84,2.02,1.9,1.47,1.67,1.58
20120206,0.3,-0.42,-0.16,-0.14,-0.32,-0.22,0.06,0.05,-0.07,-0.11,-0.05
20120207,0.4,-0.35,-0.08,-0.13,-0.06,0.1,0.24,0.14,0.16,0.02,0.16
20120208,0.73,0.38,0.2,-0.08,0.2,0.22,0.1,0.27,0.23,0.21,0.25
20120209,0.14,-0.84,-0.46,-0.11,-0.04,0.07,0.49,0.45,0.32,0.1,0.15
20120210,-0.93,-1.72,-1.28,-1.5,-1.26,-1.01,-1.18,-0.9,-0.81,-0.67,-0.75
20120213,1.18,1.54,1.46,1.39,0.88,1,0.8,0.71,0.55,0.61,0.75
20120214,-0.55,-0.74,-0.54,-0.34,-0.5,-0.2,-0.17,0,0.22,-0.21,-0.09
20120215,-0.38,-0.94,-0.87,-0.76,-0.25,-0.32,-0.2,-0.01,-0.27,-0.32,-0.5
20120216,1.08,2.37,1.93,1.88,2.01,1.64,1.5,1.54,1.27,1.16,1.27
20120217,0.62,0.18,-0.09,-0.04,-0.04,-0.13,-0.08,0.14,0.04,0.2,0.16
20120221,-0.4,-0.85,-0.75,-0.57,-0.57,-0.17,-0.25,-0.69,-0.2,-0.09,-0.05
20120222,-0.5,-1.25,-0.9,-0.68,-0.8,-0.19,-0.74,-0.47,-0.19,-0.33,-0.39
20120223,1.05,1.74,1.65,1.56,0.9,0.74,0.88,0.89,0.4,0.53,0.56
