,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,xrm
20090612,-0.42,0.34,-0.09,0.02,-0.05,-0.33,-0.4,-0.36,-0.23,-0.2,0.03
20090615,-1.43,-3.57,-3.1,-2.89,-2.99,-2.34,-2.91,-2.54,-3.12,-2.65,-2.38
20090616,-0.79,-1.59,-1.86,-1.68,-1.87,-1.94,-1.99,-1.96,-1.45,-1.29,-1.33
20090617,-0.11,0.88,0.22,0.07,-0.17,-0.13,-0.64,-0.34,-0.42,-0.55,-0.08
20090618,0.3,0.52,0.49,0.39,-0.13,0.54,0.21,0.6,0.52,0.98,0.74
20090619,0.56,0.55,1.21,0.42,0.71,0.52,0.32,0.48,0.33,0.24,0.35
20090622,-2.64,-4.46,-4.78,-4.27,-4.07,-3.93,-4.24,-3.85,-4.15,-3.62,-3.08
20090623,-0.73,0.1,-1.03,-0.87,-0.85,-0.62,0.11,-0.11,0.42,0.45,0.08
20090624,0.1,0.55,1.18,1.1,1.33,1.19,1.68,1.28,1.33,0.69,0.78
20090625,2.25,3.23,3.15,2.74,3.1,2.75,2.25,2.74,2.62,2.24,2.19
20090626,1.46,1.43,1.73,1.27,1.24,0.11,0.37,0.23,-0.58,0.01,0.04
20090629,0.14,-0.49,-0.12,0.02,0.48,0.67,0.94,0.75,1.15,0.63,0.82
20090630,0.53,-0.36,-0.77,-0.58,-0.51,-0.37,-0.49,-0.7,-0.75,-1.05,-0.74
20090701,1.06,2.05,1.82,1.62,1.61,1.2,0.77,0.4,0.6,0.14,0.54
20090702,-1.9,-3.95,-3.94,-3.83,-3.71,-3.3,-2.95,-3.33,-3.38,-2.94,-2.89
20090706,-1.19,-0.91,-0.85,-1.11,-1.02,-1.08,-0.77,-0.71,0.13,0.26,-0.03
20090707,-1.29,-2.05,-1.79,-2.08,-2.03,-2.08,-2.11,-2.39,-2.12,-2.11,-1.93
20090708,-1.46,-1.55,-0.74,-1.2,-0.76,-0.59,-0.73,-0.34,-0.27,-0.07,-0.2
20090709,0.37,-0.28,-0.14,0.18,0.75,0.65,0.94,0.81,0.84,0.51,0.35
20090710,0.1,0.46,0.39,0.3,0.21,0.01,-0.3,0.02,-0.49,-0.37,-0.35
20090713,0.81,2.93,2.59,2.4,2.42,2.41,2.09,2.24,2.3,2.44,2.43
20090714,0.65,0.77,0.89,0.95,1.09,0.82,0.95,1,0.73,0.61,0.59
20090715,2.26,4.53,4.14,3.73,3.44,3.29,3.18,3.01,2.97,2.92,2.98
20090716,0.39,1.16,1.31,1.06,1.41,1.49,1.44,1.23,1.04,1.06,0.94
20090717,-0.16,-0.72,-0.81,-0.09,-0.25,-0.22,-0.12,0.02,-0.12,-0.17,-0.05
20090720,1.39,1.62,1.98,1.58,1.5,1.36,1.62,1.78,1.65,1.27,1.19
20090721,-0.45,-0.52,-0.42,-0.39,-0.44,-0.22,-0.08,0.28,0.09,0.42,0.31
20090722,1.25,0.67,0.5,0.6,0.65,0.78,0.29,0.22,0.29,-0.11,0.08
20090723,2.09,3.14,2.83,3.25,3.28,2.96,2.5,2.86,2.73,2.48,2.37
20090724,0.78,0.6,0.62,0.83,0.54,0.57,0.85,0.77,0.83,0.37,0.38
20090727,1.09,0.63,0.6,0.5,0.58,0.59,0.55,0.19,0.32,0.26,0.3
20090728,0.75,0.47,0.6,-0.22,-0.25,-0.04,-0.23,-0.3,-0.32,-0.25,-0.2
20090729,0.09,-1.01,-0.77,-0.54,-0.53,-0.52,-0.71,-0.97,-0.5,-0.64,-0.46
20090730,1.5,2.15,1.66,1.87,1.63,1.27,1.29,1.5,1.36,1.31,1.24
20090731,0.74,-0.25,0.36,-0.02,0.16,0.12,0.16,0.23,0,0.08,0.05
20090803,2,1.93,1.71,1.83,2.09,1.81,2.32,2.08,1.93,1.72,1.63
20090804,0.94,0.91,0.72,1.22,0.65,0.59,0.4,0.54,0.52,0.09,0.32
20090805,0.97,-1.1,-0.94,-0.67,-0.72,-0.69,-0.37,0.01,-0.62,-0.32,-0.3
20090806,-0.17,-1.72,-1.66,-1.3,-1.35,-0.96,-0.99,-0.55,-0.69,-0.31,-0.62
20090807,1.77,2.87,2.72,2.15,2.26,2.22,2.1,2.44,1.91,1.21,1.44
20090810,0.82,0.29,0.7,0.15,-0.16,-0.4,-0.42,-0.45,-0.33,-0.42,-0.32
20090811,-0.78,-1.8,-2.06,-1.56,-1.41,-1.32,-1.14,-1.24,-1.18,-1.07,-1.25
20090812,1.24,2.43,1.67,1.88,1.48,1.2,1.29,1.39,1.38,1.17,1.21
20090813,0.62,0.5,0.71,0.77,0.83,0.91,0.97,0.67,0.95,0.76,0.73
20090814,-0.99,-2.33,-2.25,-2.06,-1.81,-1.4,-1.19,-1.38,-1.28,-0.92,-0.97
20090817,-2.37,-2.73,-2.86,-2.58,-2.99,-2.8,-2.68,-2.91,-2.41,-2.47,-2.46
20090818,1.74,2.24,1.47,1.54,1.56,1.26,1.38,1.23,1.16,1.1,1.11
20090819,0.64,1.16,1.07,0.87,0.88,0.72,0.53,0.7,0.73,0.68,0.72
20090820,0.8,1.21,1.19,1.02,1.03,1.04,1.01,1,0.94,1.02,1
20090821,1.48,2.22,2.3,2.52,2.2,2,1.86,2.01,2.01,1.81,1.83
20090824,0.37,-0.13,-0.09,-0.07,-0.18,-0.31,-0.4,-0.33,-0.21,-0.18,-0.09
20090825,0.89,0.45,0.35,0.24,0.64,0.25,0.45,0.55,0.22,0.13,0.27
20090826,1.18,0.43,0.07,0.12,-0.18,0.02,0.01,0.07,-0.22,-0.05,-0.01
20090827,0.53,0.17,-0.15,0.07,0.22,0.17,0.11,0.35,0.36,0.3,0.21
20090828,-0.22,-1.29,-0.98,-0.33,0.02,0.31,0.03,0.33,-0.05,-0.15,-0.19
20090831,-0.44,-1.56,-1.41,-1.22,-1.32,-1.49,-1.12,-1.18,-1.16,-0.87,-0.86
20090901,-1.85,-2.55,-2.37,-2.42,-2.31,-2.09,-2.28,-2.44,-1.97,-1.98,-2.15
20090902,-0.02,-0.09,-0.08,-0.42,-0.61,-0.38,-0.22,-0.29,-0.42,-0.13,-0.28
20090903,0.7,1.44,1.55,1.16,1.17,1.4,1.09,1.51,0.99,0.96,0.93
20090904,1.04,1.81,1.46,1.52,1.23,1.68,1.24,1.39,1.36,1.29,1.31
20090908,1.18,0.44,0.97,1.22,1.27,1.13,1.54,1.29,1.09,0.71,0.88
20090909,1.31,1.81,2.15,1.42,1.77,1.33,1.15,1.32,1.04,0.76,0.9
20090910,1.37,1.6,1.56,1.54,1.57,1.28,1.19,1.42,1.12,1.02,1.08
20090911,0.55,-0.25,-0.29,-0.04,0.02,0.05,0.27,0.14,0.02,-0.03,-0.1
20090914,1.2,0.88,1.1,0.79,0.92,0.82,1.02,0.98,0.87,0.64,0.65
20090915,1.07,0.93,1,1,0.94,0.92,1.17,0.84,0.6,0.32,0.44
20090916,1.23,1.83,2.22,2.2,2.24,1.84,1.51,1.83,1.66,1.43,1.55
20090917,0.66,-0.11,-0.11,-0.29,-0.36,-0.66,-0.48,-0.66,-0.58,-0.21,-0.3
20090918,-0.14,0.87,0.62,0.48,0.02,-0.06,0.19,0.3,0.21,0.25,0.23
20090921,0.31,-0.24,-0.45,-0.4,-0.37,0.22,-0.14,0.11,-0.41,-0.39,-0.27
20090922,0.97,0.71,0.8,0.88,0.69,0.78,0.58,0.53,0.6,0.58,0.66
20090923,0.09,-0.68,-0.96,-1.06,-1.12,-1.09,-1.04,-1.3,-1.1,-1.07,-1
20090924,-1.55,-1.86,-1.67,-1.89,-1.81,-1.75,-1.7,-1.49,-1.46,-0.94,-1.07
20090925,-0.05,-0.06,-0.4,-0.79,-0.81,-0.46,-0.68,-0.54,-0.58,-0.69,-0.64
20090928,1.12,2.63,2.49,2.28,2.06,1.86,2.01,2.03,1.81,1.76,1.79
20090929,0.29,-0.7,-0.5,-0.07,0.03,0.41,0.56,0.16,0.14,-0.14,-0.12
20090930,-0.58,-1.32,-1.04,-1.2,-0.75,-0.37,-0.45,-0.47,-0.18,-0.27,-0.4
20091001,-1.88,-3.74,-3.28,-3.25,-3.34,-3.11,-3.1,-3.1,-2.77,-2.37,-2.63
20091002,-0.83,-0.59,-0.57,-0.66,-0.84,-0.94,-1.04,-0.82,-0.85,-0.45,-0.49
20091005,1.24,2.08,1.83,1.8,2,2.13,2.1,2.2,1.9,1.2,1.54
20091006,0.96,2,1.97,1.96,1.56,1.52,1.21,1.52,1.31,1.33,1.42
20091007,0.4,0.21,0.12,-0.07,0.18,0.16,-0.03,0.13,0.27,0.36,0.28
20091008,0.66,0.53,0.77,0.99,1.3,1.42,1.38,1.37,1.14,0.79,0.82
20091009,0.97,1.36,1.14,1.12,0.93,0.84,0.65,0.32,0.72,0.54,0.59
20091012,0.09,-0.47,-0.18,-0.03,0.09,0.2,0.35,0.26,0.46,0.24,0.36
