,smbm1,smbm2,smbm3,bigbm1,bigbm2,bigbm3,Mkt-RF,SMB,HML,RF
19281123,-1.04,1.9,2.45,1.7,1.21,2.55,1.38,-0.72,2.16,0.096
19281201,1.39,2.21,3.21,1.48,1.95,0.55,1.69,0.95,0.45,0.015
19281208,-6.57,-8.49,-9.38,-8.7,-8.37,-9.07,-8.67,0.57,-1.59,0.015
19281215,3.03,3.05,3.96,1.9,3.04,3.89,2.65,0.4,1.46,0.015
19281222,3.23,1.72,2.5,4.39,2.66,2.95,3.5,-0.85,-1.09,0.015
19281229,1.74,2.51,1.65,3.23,2.45,2.72,2.78,-0.83,-0.3,0.015
19290105,1.75,3.12,2.45,2.28,1.99,2.47,2,0.2,0.45,0.086
19290112,-0.44,0.26,0.62,-0.19,-0.52,-0.22,-0.4,0.46,0.52,0.086
19290119,-0.05,0.75,1.38,0.58,2.28,1,1.1,-0.59,0.92,0.086
19290126,0.03,-0.61,-1.58,3.55,1.64,-0.58,1.98,-2.26,-2.87,0.086
19290202,-0.21,0.69,1.49,1.88,1.58,3.81,1.74,-1.77,1.81,0.089
19290208,-4.79,-4.46,-4.54,-4.89,-4.34,-4.68,-4.9,0.04,0.23,0.089
19290216,-1.18,-1.41,-2.52,-1.49,-1.34,-0.01,-1.4,-0.76,0.07,0.089
19290221,3.62,3.39,3.49,3.33,2.48,3.34,2.91,0.45,-0.05,0.089
19290302,3.95,3.23,3.63,2.88,3.99,5.02,3.51,-0.36,0.91,0.086
19290309,-3.69,-2.3,-2.43,-1.93,-1.23,-1.68,-1.83,-1.19,0.76,0.086
19290316,1.57,2.81,1.89,3.58,2.67,2.52,2.81,-0.84,-0.37,0.086
19290323,-2.82,-3.63,-3.7,-3.29,-1.9,-3.34,-2.93,-0.54,-0.47,0.086
19290328,-1.93,-0.9,-0.92,0.05,2.05,0.37,0.46,-2.07,0.67,0.086
19290406,-1.18,-1.68,-0.82,-1.61,-1.33,-1.14,-1.63,0.13,0.41,0.089
19290413,-1.59,1.06,-0.89,0.9,0.06,-1.34,0.27,-0.34,-0.77,0.089
19290420,2.24,1.85,-0.16,1.28,0.67,0.9,1.02,0.36,-1.39,0.089
19290427,0.48,0.53,1.45,0.75,0.83,0.99,0.89,-0.04,0.61,0.089
19290504,0.54,2.18,1.64,2.91,1.7,3.84,2.42,-1.36,1.02,0.11
19290511,-1.13,-0.37,-1.21,-0.98,-0.41,-1.05,-0.84,-0.09,-0.07,0.11
19290518,-2.08,-2.21,-2.49,0.46,-1.92,-1.89,-1.19,-1.14,-1.38,0.11
19290525,-4.58,-5.05,-5.74,-4.94,-2.55,-4.75,-4.39,-1.05,-0.49,0.11
19290601,-2.86,-1.74,-3.49,-1.76,0.43,1.94,-0.91,-2.9,1.54,0.13
19290608,1.16,2.79,2.2,2.5,1.44,1.86,1.82,0.12,0.2,0.13
19290615,0.75,1.48,2.83,2.81,0.79,1.9,1.73,-0.15,0.58,0.13
19290622,0.95,2.54,0.68,2.15,2.75,1.79,2.15,-0.84,-0.32,0.13
19290629,3.03,1.29,-0.3,3.93,3.52,1,2.99,-1.48,-3.13,0.13
19290706,1.42,1.65,1.75,3.33,1.91,2.32,2.44,-0.91,-0.34,0.084
19290713,0.8,0.8,1.66,-0.16,2.3,2.65,1.42,-0.51,1.84,0.084
19290720,0.15,-1.35,1.04,-0.11,1.37,2.56,0.64,-1.33,1.77,0.084
19290727,-2.78,-1.92,-2.46,-0.7,-0.41,-3.11,-0.92,-0.98,-1.04,0.084
19290803,-0.32,0.75,1.55,4.15,3.59,1.39,3.07,-2.39,-0.45,0.101
19290810,-4.59,-3.47,-3.43,-3.89,-2.74,-1.1,-3.28,-1.25,1.98,0.101
19290817,2.52,2.46,4.03,3.53,7.28,3.13,4.72,-1.64,0.55,0.101
19290824,-0.06,-0.14,-1.28,3.27,3.19,1.52,2.46,-3.16,-1.48,0.101
19290830,2.13,0.13,0.67,1.4,1.84,2.45,1.76,-0.92,-0.2,0.101
19290907,-1.1,0.62,-1.5,1.42,-0.55,-0.27,0.24,-0.86,-1.05,0.088
19290914,0.86,-0.24,-0.44,-2.15,-1.25,-1.05,-1.66,1.54,-0.1,0.088
19290921,-0.07,-0.81,0.66,0.67,-0.71,-0.83,-0.11,0.22,-0.38,0.088
19290928,-3.15,-3.54,-2.43,-3.76,-1.88,-3.05,-3.15,-0.14,0.72,0.088
19291005,-3,-1.34,-2.84,-1.42,-1.51,-1.76,-1.88,-0.83,-0.09,0.114
19291011,3.57,2.84,3.33,2.13,3.43,3.69,2.77,0.16,0.66,0.114
19291019,-5.13,-5.57,-4.51,-9.21,-6.03,-4.56,-8.13,1.53,2.64,0.114
19291026,-9.33,-10.06,-8.94,-9.23,-5.67,-4.22,-7.7,-3.07,2.7,0.114
19291031,-10.06,-6.79,-8.93,-9.4,-5.56,-5.09,-7.16,-1.91,2.72,0.114
19291108,-9.42,-8.31,-8.44,-13.83,-9.92,-7.47,-11.74,1.68,3.67,0.094
19291115,-5.38,-5.71,-6.96,-4.36,-3.19,-2.93,-3.99,-2.52,-0.08,0.094
19291122,3.81,6.17,6.61,7.11,4.75,5.31,5.63,-0.19,0.5,0.094
19291127,-3.46,-1.34,-1.12,-2.61,-1.93,-2.14,-2.45,0.26,1.4,0.094
19291207,5.99,3.74,6.52,9.38,6.23,4.71,7.51,-1.36,-2.07,0.091
19291214,-1.84,-3.38,-1.77,-3.45,-2.98,-0.29,-3.02,-0.09,1.61,0.091
19291221,-7.74,-5.87,-6.63,-6.74,-5.37,-4.22,-6.32,-1.3,1.81,0.091
19291228,-1.7,-1.15,-1.01,0.87,0.27,-0.56,0.14,-1.48,-0.37,0.091
19300104,4.98,4.34,4.05,4.86,2.78,2.14,3.85,1.2,-1.83,0.035
19300111,1.79,1.24,2.16,-1.12,-0.05,0.28,-0.27,2.02,0.89,0.035
19300118,-3.37,-0.64,-1.63,-0.6,-0.67,-0.1,-0.48,-1.42,1.12,0.035
19300125,3.08,5.49,3.83,4.11,2.88,2.43,3.35,0.99,-0.46,0.035
19300201,3.43,1.61,1.93,5.1,2.02,0.31,3.22,-0.16,-3.15,0.074
19300208,0.74,-0.09,1.74,0.59,0.84,1.94,0.94,-0.33,1.18,0.074
19300215,-0.17,0.72,1.97,-0.17,-0.16,-0.21,-0.1,1.02,1.05,0.074
19300221,-0.61,-1.23,-0.62,-0.44,-0.85,-0.55,-0.72,-0.21,-0.06,0.074
19300301,1.57,3.26,1.16,3,1.72,0.08,2.14,0.39,-1.66,0.087
19300308,2.69,1.76,1.63,0.78,0.92,0.52,0.69,1.28,-0.66,0.087
19300315,-0.79,2.1,0.82,-1.54,-0.26,-0.14,-0.95,1.36,1.5,0.087
19300322,1.92,2.81,3.76,3.07,3.31,2.2,2.79,-0.03,0.49,0.087
19300329,3.12,2.23,3.61,3.89,3.38,2.17,3.54,-0.16,-0.62,0.087
19300405,2.67,1.12,0.69,2.1,2.48,0.19,1.91,-0.1,-1.95,0.053
19300412,-0.65,0.52,0.06,1.17,-0.41,-1.26,0.3,0.14,-0.86,0.053
19300417,0.39,0.44,-0.85,-0.37,-1.13,-1.02,-0.51,0.83,-0.95,0.053
19300426,-4.91,-1.44,-1.01,-2.84,-0.9,-1.76,-1.68,-0.62,2.49,0.053
19300503,-9.43,-8.07,-8.73,-10.48,-7.49,-6.24,-9.09,-0.67,2.47,0.064
19300510,4.39,2.56,1.79,6.15,3.27,2.89,4.65,-1.19,-2.93,0.064
19300517,0.3,0.41,3.77,1.48,0.45,0.97,0.86,0.53,1.48,0.064
19300524,-0.99,-0.37,-1.58,0.29,-0.41,-0.27,-0.35,-0.85,-0.57,0.064
19300529,-0.4,0.95,0.25,1.59,0.9,-1.13,1.01,-0.18,-1.04,0.064
19300607,-4.66,-4.08,-4.59,-6.26,-4.26,-2.28,-5.29,-0.18,2.02,0.067
19300614,-5.88,-5.49,-6.72,-5.43,-4.87,-3.9,-5.55,-1.3,0.35,0.067
19300621,-10.77,-10.05,-11.15,-10.97,-6.97,-5.72,-9,-2.77,2.43,0.067
19300628,0.55,0.07,-0.14,0.97,0.78,-2.33,0.41,0.35,-1.99,0.067
19300703,2.24,2.76,3.57,1.35,2.11,3.52,1.69,0.53,1.75,0.05
19300712,1.36,1.45,0.18,3.15,3.16,3.3,2.76,-2.21,-0.51,0.05
19300719,5.15,5.32,6.38,3.73,2.89,4.2,3.57,2.01,0.85,0.05
19300726,0.24,-1.92,-1.61,1.39,-0.16,-0.24,0.64,-1.43,-1.74,0.05
19300802,-1.24,-1.62,-2.27,-2.29,-1.75,-2.7,-2.21,0.53,-0.72,0.022
19300809,-3.87,-4.58,-5.61,-5.38,-3.61,-5.62,-4.82,0.18,-0.99,0.022
19300816,-1.28,-0.36,2.07,2.55,1.57,1.25,1.97,-1.65,1.02,0.022
19300823,0.6,1.04,-0.23,2.19,-0.59,0.01,0.96,-0.07,-1.51,0.022
19300829,1,1.68,1.24,2.4,1.58,2.99,2.2,-1.02,0.42,0.022
19300906,1,1.57,1.43,1.02,1.2,1.88,1,-0.03,0.65,0.055
19300913,-0.03,1.24,-0.07,-0.57,-0.84,-1.66,-0.61,1.4,-0.56,0.055
19300920,-1.91,-3.14,-4.39,-3.3,-2.46,-3.28,-3.23,-0.13,-1.23,0.055
19300927,-7.18,-9.53,-10.63,-6.89,-6.41,-8.84,-7.06,-1.73,-2.7,0.055
19301004,-1.91,-0.48,-1.95,-0.01,-0.97,-3.21,-0.48,-0.05,-1.62,0.022
19301011,-10.23,-8.43,-8.18,-8.49,-6.17,-8.81,-8,-1.12,0.87,0.022
19301018,-4.14,-4.33,-6.36,-3.67,-3.21,-5.05,-3.54,-0.97,-1.8,0.022
19301025,2.11,2.56,2.6,4.1,1.49,2.9,3.14,-0.41,-0.36,0.022
19301101,-2.52,-2.7,-4.11,-3.64,-1.64,-3.22,-3.07,-0.27,-0.58,0.033
19301108,-4.71,-6.56,-6.48,-7.36,-5.76,-9.66,-6.69,1.68,-2.04,0.033
19301115,9.64,6.39,5.25,7.53,5.68,7.1,6.59,0.32,-2.41,0.033
19301122,-1.4,1.34,3.14,0.07,-0.41,1.85,-0.09,0.53,3.16,0.033
19301129,-2.66,-3.19,-2,-2.28,-2.65,-5.47,-2.57,0.85,-1.27,0.033
19301206,-0.21,-2,-4.13,-1.85,-1.83,-2.28,-1.9,-0.13,-2.17,0.035
19301213,-7.99,-8.05,-11.95,-6.94,-7.99,-9,-7.62,-1.35,-3.01,0.035
19301220,0.29,-0.22,-0.1,3.19,1.17,3.75,2.61,-2.71,0.09,0.035
19301227,-2.41,-3.74,-6.71,-3.66,-3.69,-7.5,-4.11,0.67,-4.07,0.035
19310103,5.58,8.79,11.75,7.96,9.48,14.73,8.96,-2.01,6.47,0.036
19310110,0.17,4.67,9.2,0.79,1.74,4.93,1.29,2.19,6.58,0.036
19310117,-0.75,-2.01,-3.85,-3.65,-3.54,-3.31,-3.39,1.29,-1.38,0.036
19310124,3.32,4.2,2.93,4.6,3.52,5.39,4.12,-1.02,0.2,0.036
19310131,0.51,-1.67,0.05,-0.95,-1,-1.79,-0.99,0.87,-0.65,0.036
19310207,3.04,2,2.44,2.93,1.17,2.26,2.21,0.38,-0.64,0.01
19310214,4.13,3.63,5.44,4.55,3.4,3.44,4.1,0.6,0.11,0.01
19310221,7.11,5.96,6.6,4.77,3.33,5.78,4.38,1.93,0.25,0.01
19310228,-1.77,-0.43,1.62,0.32,-1.1,0.47,-0.12,-0.09,1.77,0.01
19310307,-1.39,-2.46,-2.55,-1,-3.31,-2.61,-1.75,0.18,-1.38,0.032
19310314,0.49,0.04,-0.88,0.2,-2.25,-0.25,-0.6,0.65,-0.91,0.032
